"Number.People","Ward","Division","House.Number","Street.Name","Address.Line.2"
11,2,18,736,"S 08TH ST",""
11,2,4,1218,"S 08TH ST",""
83,36,16,2100,"DICKINSON ST","POINT BREEZE APTS"
13,1,17,120,"DICKINSON ST",""
20,35,3,530,"KNORR ST",""
12,55,25,4100,"KNORR ST",""
11,55,25,4120,"KNORR ST",""
96,47,1,901,"N CARLISLE ST",""
13,13,23,3734,"N CARLISLE ST",""
11,17,21,5212,"N CARLISLE ST",""
12,53,10,1309,"MAGEE AVE",""
11,35,32,747,"MAGEE AVE",""
96,20,6,1300,"W JEFFERSON ST",""
14,34,15,6237,"W JEFFERSON ST",""
12,34,12,6007,"W JEFFERSON ST",""
625,8,24,2001,"HAMILTON ST","CITY VIEW"
153,8,24,1900,"HAMILTON ST","TIVOLI"
83,5,31,907,"HAMILTON ST","GATEWAY CENTER"
25,8,24,2000,"HAMILTON ST",""
20,5,25,1234,"HAMILTON ST",""
14,24,2,3105,"HAMILTON ST",""
13,8,30,1520,"HAMILTON ST",""
12,24,1,3312,"HAMILTON ST","HAMILTON APTS"
11,5,31,1020,"HAMILTON ST",""
38,53,19,929,"TYSON AVE","TYSON ARMS APT"
478,8,8,226,"W RITTENHOUSE SQ","DORCHESTER THE"
183,8,6,1810,"W RITTENHOUSE SQ","RITTENHOUSE SAVOY"
144,8,10,210,"W RITTENHOUSE SQ","RITTENHOUSE"
118,8,10,220,"W RITTENHOUSE SQ","220 W RITTENHOUSE APTS"
73,8,8,222,"W RITTENHOUSE SQ","LINCOLN RITTENHOUSE"
64,8,6,1830,"W RITTENHOUSE SQ","1830 RITTENHOUSE SQ APTS"
58,8,8,1900,"W RITTENHOUSE SQ","1900 RITTENHOUSE APTS"
47,8,6,1706,"W RITTENHOUSE SQ",""
46,8,6,1820,"W RITTENHOUSE SQ",""
13,8,8,2028,"W RITTENHOUSE SQ",""
19,14,5,1001,"WALLACE ST",""
13,15,15,1902,"WALLACE ST",""
11,15,16,1929,"WALLACE ST",""
331,24,10,101,"N 34TH ST","DREXEL UNIV NEW TOWER"
303,24,18,223,"N 34TH ST",""
233,24,18,203,"N 34TH ST","DREXEL UNIV KELLY HALL"
57,24,4,600,"N 34TH ST",""
16,24,2,411,"N 34TH ST",""
11,24,18,204,"N 34TH ST",""
76,6,11,4035,"PARRISH ST",""
16,6,16,4425,"PARRISH ST",""
14,44,11,4813,"PARRISH ST",""
11,6,16,4445,"PARRISH ST",""
88,8,26,1440,"MOUNT VERNON ST",""
32,14,1,1221,"MOUNT VERNON ST",""
15,8,26,1609,"MOUNT VERNON ST",""
15,8,26,1632,"MOUNT VERNON ST",""
254,66,32,3400,"RED LION RD","STEEPLE CHASE 3400"
201,58,18,600,"RED LION RD","BROOKMONT APTS"
147,66,19,3600,"RED LION RD","SHERWOOD CROSSING"
94,58,1,851,"RED LION RD","AMBASSADOR APTS 851"
85,58,10,828,"RED LION RD","AMBASSADOR TWO"
69,58,3,2109,"RED LION RD",""
43,66,37,3651,"RED LION RD","PARK TOWERS APT 3651"
40,58,1,805,"RED LION RD","AMBASSADOR CONDOMINIUM"
11,58,1,809,"RED LION RD",""
56,15,1,825,"N 29TH ST",""
21,15,1,844,"N 29TH ST","BREWERY CONDO SEDGLEY"
25,32,18,1800,"N 25TH ST",""
19,32,18,1810,"N 25TH ST",""
17,32,28,1900,"N 25TH ST",""
16,32,1,1714,"N 25TH ST",""
14,32,28,1910,"N 25TH ST",""
13,32,18,1820,"N 25TH ST",""
11,32,28,1930,"N 25TH ST",""
30,48,7,2627,"MIFFLIN ST",""
98,34,24,1101,"N 63RD ST","OVERBROOK ARMS"
72,34,14,900,"N 63RD ST","OVERBROOK GARDENS"
53,34,15,931,"N 63RD ST",""
30,34,25,2130,"N 63RD ST","PENNBROOK 2130"
14,34,38,225,"N 63RD ST",""
14,34,25,2120,"N 63RD ST","PENNBROOK 2120"
11,34,25,2115,"N 63RD ST",""
27,5,2,247,"S 05TH ST",""
15,2,25,705,"S 05TH ST",""
15,1,7,1734,"S 05TH ST",""
11,2,16,745,"S 05TH ST",""
11,2,12,914,"S 05TH ST",""
12,2,3,630,"FEDERAL ST",""
16,2,26,715,"S 03RD ST",""
13,2,26,777,"S 03RD ST",""
12,5,2,234,"S 03RD ST",""
11,2,26,620,"S 03RD ST",""
11,2,16,770,"S 03RD ST",""
39,32,2,1981,"N WOODSTOCK ST","ACTS WOODSTOCK"
18,11,11,2804,"N WOODSTOCK ST",""
18,11,11,2818,"N WOODSTOCK ST",""
81,8,23,100,"N 22ND ST","THE ARCHES"
25,16,15,2146,"N 22ND ST",""
22,16,15,2140,"N 22ND ST",""
15,8,23,230,"N 22ND ST",""
14,13,19,3635,"N 22ND ST",""
13,8,23,206,"N 22ND ST",""
12,11,8,3040,"N 22ND ST",""
11,29,8,1412,"N 22ND ST",""
11,29,4,1417,"N 22ND ST",""
105,11,9,1531,"W TIOGA ST",""
36,11,12,2100,"W TIOGA ST",""
28,11,10,1828,"W TIOGA ST",""
20,11,12,2120,"W TIOGA ST",""
17,11,15,2107,"W TIOGA ST",""
13,43,14,1243,"W TIOGA ST",""
12,11,12,2114,"W TIOGA ST",""
11,11,12,1902,"W TIOGA ST",""
22,30,11,2029,"MONTROSE ST",""
12,2,11,730,"MONTROSE ST",""
22,56,17,8001,"CASTOR AVE",""
65,48,23,3001,"MOORE ST","GREATER GRAYS FERRY ESTAT"
61,48,7,2600,"MOORE ST",""
243,35,1,800,"COTTMAN AVE","REGENCY PARK"
19,64,12,3040,"COTTMAN AVE",""
16,53,18,1730,"COTTMAN AVE",""
288,56,22,2101,"STRAHLE ST","SAMUEL TABAS HOUSE"
76,56,22,2201,"STRAHLE ST","EMERALD WAY"
26,32,2,2016,"W BERKS ST",""
18,32,28,2535,"W BERKS ST",""
15,32,28,2625,"W BERKS ST",""
14,32,18,2510,"W BERKS ST",""
14,32,18,2620,"W BERKS ST",""
12,18,17,175,"W BERKS ST",""
11,32,18,2520,"W BERKS ST",""
11,32,18,2530,"W BERKS ST",""
11,32,28,2635,"W BERKS ST",""
11,16,2,2334,"N SMEDLEY ST",""
36,5,12,116,"S 07TH ST",""
24,2,17,849,"S 07TH ST",""
18,2,23,718,"S 07TH ST",""
16,2,17,815,"S 07TH ST",""
13,2,23,714,"S 07TH ST",""
12,2,3,1155,"S 07TH ST",""
562,17,23,1900,"W OLNEY AVE",""
43,17,16,2001,"W OLNEY AVE","LA SALLE UNIV ST KATHERIN"
11,17,16,2100,"W OLNEY AVE","LA SALLE UNIV ST MIGUEL"
37,1,13,430,"REED ST",""
18,36,17,2326,"REED ST",""
17,36,28,3115,"REED ST",""
14,1,16,617,"REED ST",""
14,36,36,1501,"REED ST",""
225,20,11,1100,"W MONTGOMERY AVE",""
45,52,22,5200,"W MONTGOMERY AVE","KEVON PARK APTS"
26,52,23,5301,"W MONTGOMERY AVE","KEVON GARDENS"
11,32,8,1715,"W MONTGOMERY AVE",""
65,37,6,1007,"W LEHIGH AVE",""
31,16,18,2216,"W LEHIGH AVE",""
27,19,11,166,"W LEHIGH AVE",""
23,28,17,2729,"W LEHIGH AVE",""
16,28,1,2432,"W LEHIGH AVE",""
12,28,1,2426,"W LEHIGH AVE",""
158,5,13,1100,"VINE ST",""
84,5,27,319,"VINE ST",""
77,5,27,303,"VINE ST","PENNS VIEW APTS"
53,5,30,221,"VINE ST","MARINERS COURT"
48,5,27,509,"VINE ST",""
30,5,27,313,"VINE ST",""
13,5,27,427,"VINE ST",""
11,44,4,5330,"VINE ST",""
89,47,4,1634,"W MASTER ST",""
64,29,10,3000,"W MASTER ST","THE LOFTS"
20,18,14,413,"W MASTER ST","DRUEDING INFIRMARY"
14,29,8,2221,"W MASTER ST",""
12,47,5,1705,"W MASTER ST",""
12,47,5,1707,"W MASTER ST",""
11,47,13,1827,"W MASTER ST",""
24,32,28,1901,"N 27TH ST",""
23,32,28,1866,"N 27TH ST",""
18,32,28,1870,"N 27TH ST",""
18,32,28,1880,"N 27TH ST",""
15,32,28,1900,"N 27TH ST",""
15,32,28,1915,"N 27TH ST",""
14,32,28,1876,"N 27TH ST",""
12,32,3,1723,"N 27TH ST",""
12,32,28,1910,"N 27TH ST",""
111,5,9,311,"S JUNIPER ST",""
39,5,9,247,"S JUNIPER ST","IMPERIAL APTS"
23,39,30,2032,"S JUNIPER ST","LOFT APTS"
14,55,28,6919,"WALKER ST",""
12,65,17,8027,"WALKER ST",""
25,49,6,6201,"N PARK AVE",""
19,37,4,2326,"N PARK AVE",""
13,37,4,2329,"N PARK AVE",""
133,46,22,241,"S 49TH ST",""
44,60,8,242,"S 49TH ST",""
37,51,6,800,"S 49TH ST",""
16,60,2,122,"S 49TH ST",""
15,51,6,902,"S 49TH ST",""
14,46,8,1001,"S 49TH ST",""
13,46,8,1009,"S 49TH ST",""
12,60,2,126,"S 49TH ST",""
11,46,2,546,"S 49TH ST",""
11,46,17,923,"S 49TH ST",""
11,62,26,2946,"DEVEREAUX AVE",""
59,15,1,870,"N 28TH ST","BREWERY CONDO BREWERY HSE"
19,29,15,1428,"N 28TH ST",""
16,29,12,1238,"N 28TH ST",""
286,63,7,8580,"VERREE RD","LAFAYETTE RETIREMENT APTS"
24,63,13,8118,"VERREE RD",""
23,63,13,8112,"VERREE RD",""
22,63,13,8114,"VERREE RD",""
20,63,13,8110,"VERREE RD",""
18,63,13,8116,"VERREE RD",""
18,63,19,8800,"VERREE RD",""
14,63,13,8140,"VERREE RD","SOLLY COURT APTS"
14,58,1,10115,"VERREE RD","CHALFONTE CONDOS"
11,58,1,10113,"VERREE RD",""
13,39,28,615,"MCKEAN ST",""
104,8,7,23,"S 23RD ST",""
45,36,6,1201,"S 23RD ST",""
31,8,9,266,"S 23RD ST",""
23,8,27,125,"S 23RD ST",""
14,8,1,304,"S 23RD ST",""
13,8,27,135,"S 23RD ST",""
13,65,8,8552,"MARSDEN ST",""
56,32,26,2133,"N 33RD ST","PARK LANE APTS"
22,32,26,2137,"N 33RD ST",""
16,24,1,311,"N 33RD ST",""
11,24,1,312,"N 33RD ST",""
11,24,1,319,"N 33RD ST",""
12,32,11,1904,"W DIAMOND ST",""
11,32,7,1637,"W DIAMOND ST",""
11,32,12,1745,"W DIAMOND ST",""
11,32,12,1833,"W DIAMOND ST",""
71,7,10,3950,"D ST",""
19,35,3,6800,"BINGHAM ST","BINGHAM COURT"
43,45,15,3255,"BELGRADE ST",""
23,56,1,2300,"HARTEL AVE","HARTEL COURT APTS"
33,50,24,7441,"LIMEKILN PIKE","ROBERT COURT APTS"
93,40,5,2100,"S 58TH ST","MARYFIELD APTS"
63,40,5,2000,"S 58TH ST","PRESBYTERIAN APARTMENTS"
40,3,18,1100,"S 58TH ST","HOFFMAN PLACE"
13,51,23,1209,"S 58TH ST",""
11,60,19,280,"S 58TH ST",""
128,66,18,9951,"ACADEMY RD","CANTERBURY COURT"
95,66,41,12135,"ACADEMY RD","LIBERTY ESTATES 12135"
83,57,18,9115,"ACADEMY RD","ACADEMY APTS"
55,57,21,9181,"ACADEMY RD","LINDEN COURT APT BLDG A"
13,66,15,11913,"ACADEMY RD",""
100,35,5,6500,"TABOR AVE","PHILA PROTESTANT HOME"
96,35,5,6555,"TABOR AVE","PHILA PROTESTANT HM 6555"
87,35,5,6505,"TABOR AVE","PHILA PROTESTANT HM 6505"
60,35,5,6575,"TABOR AVE","PHILA PROTESTANT HM 6575"
24,35,12,6000,"TABOR AVE","TABOR GARDENS 6000"
23,35,12,6010,"TABOR AVE","TABOR GARDENS 6010"
19,35,32,6730,"TABOR AVE",""
14,35,12,6020,"TABOR AVE","TABOR GARDENS 6020"
460,27,18,3901,"LOCUST WK","U OF P HRN"
457,27,21,3820,"LOCUST WK","U OF P HARNWELL HRE"
29,27,18,3700,"LOCUST WK",""
20,27,18,3619,"LOCUST WK",""
19,27,18,3706,"LOCUST WK",""
15,27,18,3637,"LOCUST WK",""
14,27,18,3809,"LOCUST WK",""
11,27,18,3627,"LOCUST WK",""
20,60,12,231,"S 51ST ST",""
103,18,10,1714,"MEMPHIS ST",""
53,18,7,410,"MEMPHIS ST",""
121,24,19,115,"N 32ND ST",""
11,24,2,501,"N 32ND ST",""
33,51,5,5000,"SPRINGFIELD AVE",""
18,46,16,4520,"SPRINGFIELD AVE",""
11,46,16,4500,"SPRINGFIELD AVE",""
203,52,12,2600,"BELMONT AVE","INGLIS HOUSE"
187,52,9,2101,"BELMONT AVE","SIMPSON HOUSE"
112,6,18,1030,"BELMONT AVE","STEVEN SMITH TOWERS"
86,52,11,2746,"BELMONT AVE","BEEKMAN PLACE"
34,6,18,900,"BELMONT AVE",""
32,52,12,2560,"BELMONT AVE",""
31,52,12,2564,"BELMONT AVE",""
28,52,12,2210,"BELMONT AVE","HAYES HOME"
23,52,12,2610,"BELMONT AVE",""
13,51,25,5601,"KINGSESSING AVE",""
11,46,8,4609,"KINGSESSING AVE",""
64,59,10,6322,"CHEW AVE",""
25,59,10,6300,"CHEW AVE",""
23,59,10,6320,"CHEW AVE",""
12,59,10,6310,"CHEW AVE",""
11,59,10,6340,"CHEW AVE",""
280,25,15,2913,"KENSINGTON AVE",""
55,31,8,2441,"KENSINGTON AVE","ST FRANCIS INN"
36,45,10,3317,"KENSINGTON AVE",""
31,31,2,2440,"KENSINGTON AVE",""
25,7,23,2854,"KENSINGTON AVE",""
23,25,15,2909,"KENSINGTON AVE",""
19,31,2,2638,"KENSINGTON AVE",""
14,25,14,2811,"KENSINGTON AVE",""
14,45,19,3521,"KENSINGTON AVE",""
13,31,12,2625,"KENSINGTON AVE",""
13,23,1,4150,"KENSINGTON AVE",""
11,7,23,2846,"KENSINGTON AVE",""
49,56,5,7801,"ALGON AVE","ALGON ARMS APT"
40,56,4,7320,"ALGON AVE",""
34,56,5,7900,"ALGON AVE","BARRIE PLACE"
24,56,19,8100,"ALGON AVE","AMHERST APTS"
19,56,5,7820,"ALGON AVE","ALGONQUIN PLAZA BLDG D"
16,56,5,7810,"ALGON AVE",""
40,18,17,1850,"N HOPE ST",""
15,18,1,1310,"N HOPE ST",""
13,18,17,2007,"N HOPE ST",""
124,11,16,2104,"W VENANGO ST","VENANGO HOUSE"
58,13,19,2101,"W VENANGO ST","AMBASSADOR APTS 2101"
47,13,19,2201,"W VENANGO ST","PLYMOUTH HALL APTS"
31,11,16,2100,"W VENANGO ST",""
15,50,24,7527,"THOURON AVE",""
22,43,14,1238,"W ERIE AVE",""
13,43,17,722,"W ERIE AVE",""
28,22,22,500,"E UPSAL ST","UPSAL APTS"
24,22,26,615,"E UPSAL ST","ARDLEIGH GARDENS"
20,22,15,329,"E UPSAL ST",""
104,52,17,5100,"LEBANON AVE","BRYN MAWR TOWERS"
242,52,3,3900,"CITY AVE",""
237,34,25,6100,"CITY AVE",""
182,52,12,4700,"CITY AVE","PRESBYTERIAN HOME FOR AGE"
45,52,14,4920,"CITY AVE","BALA APTS BLDG A"
43,52,14,5320,"CITY AVE",""
37,52,5,5600,"CITY AVE",""
32,52,14,5200,"CITY AVE",""
31,52,3,3901,"CITY AVE",""
23,52,3,3903,"CITY AVE","PRES CITY APTS C JEFFERSON"
16,34,25,6300,"CITY AVE",""
14,52,3,3902,"CITY AVE","PRES CITY APTS B ADAMS"
11,34,25,6318,"CITY AVE",""
26,52,21,1606,"N 52ND ST",""
19,44,18,516,"N 52ND ST",""
171,58,5,301,"BYBERRY RD","CAROUSEL STATION BLDG G"
127,58,40,110,"BYBERRY RD",""
122,58,25,450,"BYBERRY RD","FOREST STATION APTS"
92,58,35,730,"BYBERRY RD",""
64,58,40,300,"BYBERRY RD",""
56,58,35,780,"BYBERRY RD","SIDEWATER HOUSE"
17,58,40,290,"BYBERRY RD",""
164,56,38,2201,"TREMONT ST","ST REGIS APTS WEST BLDG E"
143,56,38,2301,"TREMONT ST",""
127,56,29,2350,"TREMONT ST","PLAZA TOWERS"
24,56,39,2200,"TREMONT ST","GREEN TERRACE APTS N"
18,56,39,2100,"TREMONT ST","WINMONT APTS N"
56,4,13,230,"N 57TH ST","ST MATTHEWS MANOR"
11,50,18,8245,"WILLIAMS AVE",""
16,11,11,2828,"N LAMBERT ST",""
14,11,11,2810,"N LAMBERT ST",""
14,11,11,2818,"N LAMBERT ST",""
14,11,11,2819,"N LAMBERT ST",""
11,11,11,2829,"N LAMBERT ST",""
53,17,8,2103,"W GODFREY AVE","CORINTHIAN SQ SENIOR APTS"
47,49,3,1100,"W GODFREY AVE","ACADEMIA SUITES"
22,17,5,1725,"W GODFREY AVE",""
51,5,32,1136,"N AMERICAN ST",""
23,5,21,603,"N AMERICAN ST",""
17,5,32,822,"N AMERICAN ST",""
14,5,32,916,"N AMERICAN ST",""
14,19,3,3509,"N AMERICAN ST",""
13,5,32,1102,"N AMERICAN ST",""
12,5,32,1030,"N AMERICAN ST",""
11,64,15,2715,"STANWOOD ST",""
13,2,27,116,"PEMBERTON ST",""
28,34,24,2029,"N 62ND ST",""
70,52,16,5000,"WOODBINE AVE","FAIRWAY PLAZA APTS"
153,20,9,1000,"DIAMOND ST",""
33,29,15,1429,"N NEWKIRK ST",""
27,15,1,838,"N NEWKIRK ST",""
43,52,22,1717,"N 54TH ST",""
42,44,7,519,"N 54TH ST",""
33,52,18,2001,"N 54TH ST",""
14,4,4,1238,"N 54TH ST",""
11,44,4,219,"N 54TH ST",""
11,4,3,626,"N 54TH ST",""
11,44,2,1451,"N 54TH ST",""
56,64,12,7201,"REVERE ST","REVERE COURT"
12,8,14,311,"S HICKS ST",""
181,21,23,2979,"W SCHOOL HOUSE LN","KENILWORTH THE"
146,21,23,2991,"W SCHOOL HOUSE LN","BLYTHEWOOD ESTATES"
129,21,23,2967,"W SCHOOL HOUSE LN","CAMBRIDGE THE"
39,12,22,421,"W SCHOOL HOUSE LN","SCHOOL LANE VILLAGE II"
35,12,15,125,"W SCHOOL HOUSE LN","MAPLEWOOD MANOR"
27,12,22,437,"W SCHOOL HOUSE LN","CLOVERLY APTS"
25,38,13,3464,"W SCHOOL HOUSE LN",""
24,38,20,3600,"W SCHOOL HOUSE LN",""
14,12,22,301,"W SCHOOL HOUSE LN",""
13,12,15,235,"W SCHOOL HOUSE LN","IRIS HOUSE"
12,38,11,3120,"W SCHOOL HOUSE LN",""
44,59,1,1300,"E TULPEHOCKEN ST",""
31,59,8,360,"E TULPEHOCKEN ST",""
16,4,17,1501,"N 59TH ST",""
43,59,4,6200,"ARDLEIGH ST",""
11,22,23,7120,"ARDLEIGH ST",""
11,37,18,2724,"N DARIEN ST",""
20,26,22,1425,"SNYDER AVE",""
52,46,8,1008,"S 48TH ST",""
46,46,22,216,"S 48TH ST",""
39,46,19,419,"S 48TH ST","OSAGE GARDEN BLDG B"
36,46,7,424,"S 48TH ST",""
31,46,7,414,"S 48TH ST","SYLVANIA GARDENS BLDG B"
27,46,22,236,"S 48TH ST","GLADMORE APTS"
27,46,19,429,"S 48TH ST","OSAGE GARDEN BLDG A"
25,60,23,131,"S 48TH ST","AQUILA APTS"
25,46,22,237,"S 48TH ST","ADMIRAL COURT BLDG A"
11,46,17,901,"S 48TH ST",""
121,2,9,1101,"WASHINGTON AVE",""
23,2,8,1200,"WASHINGTON AVE",""
21,36,34,1516,"WASHINGTON AVE",""
15,2,3,504,"WASHINGTON AVE",""
30,32,16,1901,"N JUDSON ST",""
14,32,16,1900,"N JUDSON ST",""
481,61,12,155,"E GODFREY AVE",""
24,35,23,851,"E GODFREY AVE","GODFREY COURT APTS"
11,45,19,1819,"E TIOGA ST",""
11,45,13,2067,"E TIOGA ST",""
67,30,16,600,"S 24TH ST",""
28,8,28,312,"S 24TH ST",""
13,8,9,251,"S 24TH ST",""
11,8,9,212,"S 24TH ST",""
22,23,2,4445,"PENN ST",""
14,62,6,5008,"PENN ST",""
13,23,6,4801,"PENN ST",""
12,23,6,4833,"PENN ST",""
12,23,6,4834,"PENN ST",""
288,24,6,3400,"LANCASTER AVE",""
69,24,6,3514,"LANCASTER AVE",""
22,34,25,6355,"LANCASTER AVE",""
16,24,8,3862,"LANCASTER AVE",""
75,12,4,607,"E CHURCH LN","TARLETON HOUSE"
54,12,6,557,"E CHURCH LN","PENN LEE COURT"
49,12,5,600,"E CHURCH LN",""
23,12,4,705,"E CHURCH LN",""
17,12,4,709,"E CHURCH LN",""
11,12,4,723,"E CHURCH LN",""
14,65,9,8629,"GILLESPIE ST",""
27,25,20,1940,"E ALLEGHENY AVE",""
20,25,20,1952,"E ALLEGHENY AVE",""
13,25,21,2022,"E ALLEGHENY AVE",""
55,50,7,1133,"E MOUNT AIRY AVE","ANDOVER APTS"
54,50,9,1061,"E MOUNT AIRY AVE",""
50,50,17,1651,"E MOUNT AIRY AVE","MT AIRY ARMS BLDG A"
37,50,17,1601,"E MOUNT AIRY AVE","MT AIRY ARMS BLDG B"
33,50,7,1116,"E MOUNT AIRY AVE","WADSWORTH MANOR 1116"
26,50,7,1100,"E MOUNT AIRY AVE","WADSWORTH MANOR 1100"
17,3,14,644,"S 60TH ST",""
54,44,13,400,"N 50TH ST","SENIOR CITIZENS APTS"
32,52,14,2465,"N 50TH ST",""
28,44,10,453,"N 50TH ST",""
13,44,8,120,"N 50TH ST",""
12,52,14,2491,"N 50TH ST","BALA APTS BLDG D"
12,52,14,2495,"N 50TH ST","BALA APTS BLDG C"
16,46,8,1100,"S 46TH ST",""
15,46,23,207,"S 46TH ST",""
13,46,23,315,"S 46TH ST","KINGSBERRY APTS"
11,46,16,1009,"S 46TH ST",""
11,46,8,1108,"S 46TH ST",""
26,59,2,1240,"E WASHINGTON LN","AWBURY MANOR BLDG B"
17,59,2,1262,"E WASHINGTON LN","AWBURY MANOR BLDG A"
12,59,2,1200,"E WASHINGTON LN",""
11,59,15,42,"E WASHINGTON LN",""
11,59,10,427,"E WASHINGTON LN",""
29,31,8,2450,"EMERALD ST",""
16,5,17,845,"N ORIANNA ST",""
17,58,18,9984,"FERNDALE ST",""
67,64,1,3501,"SOLLY AVE",""
22,63,13,415,"SOLLY AVE",""
18,59,8,332,"E WALNUT LN",""
13,59,7,129,"E WALNUT LN",""
56,32,19,2600,"W SUSQUEHANNA AVE","CLARA BALDWIN MANOR"
28,37,2,1307,"W SUSQUEHANNA AVE",""
22,32,12,1700,"W SUSQUEHANNA AVE",""
18,16,2,1421,"W SUSQUEHANNA AVE",""
13,16,15,2222,"W SUSQUEHANNA AVE",""
12,37,2,1303,"W SUSQUEHANNA AVE",""
11,19,12,116,"W SUSQUEHANNA AVE",""
746,8,22,2200,"BEN FRANKLIN PKW","PARK TOWNE PLACE BLDG E"
73,8,17,1700,"BEN FRANKLIN PKW","OAKWOOD AT THE WINDSOR"
12,60,17,5512,"CHANCELLOR ST",""
24,59,16,100,"E PRICE ST",""
12,59,16,209,"E PRICE ST",""
12,59,4,1020,"E PRICE ST",""
21,32,13,2003,"W NORRIS ST",""
